loctm,cano,contp,etymd,mchno,acqic,mcc,conam,ecfg,stocn,scity,stscd,ovrlt,hcefg,csmcu,csmam,flg_3dsmk,diff_conam,is_city_first_appearance,is_csmcu_first_appearance,cano_count,Is_First_Occurrence,freq_perday
2838,2770,5.0,8.0,2483,75,273.0,894.3318582995125,1.0,113.0,999.0,99.0,0.0,6.0,70.0,1004.2800829680696,0.0,0.0,False,True,1,True,1
181544,5264,5.0,5.0,2753,53,276.0,103.1830891,1.0,0.0,999.0,99.0,0.0,999.0,70.0,122.32700179512038,0.0,0.0,False,True,1,True,1
40224,3994,5.0,1.0,61,276,999.0,297.2112210429642,0.0,54.0,17178.0,99.0,0.0,999.0,70.0,233.2681963666023,0.0,0.0,True,True,1,True,1
70107,6196,5.0,99.0,2538,300,499.0,714.3591036757684,1.0,0.0,999.0,99.0,0.0,6.0,999.0,49970.83229873886,0.0,0.0,False,False,1,True,1
164238,3786,5.0,5.0,2493,65,276.0,976.3065326,1.0,0.0,15759.0,99.0,0.0,6.0,70.0,136.57420397269198,0.0,0.0,True,True,1,True,1
32322,265,5.0,5.0,2088,300,275.0,2740.112201942292,1.0,0.0,6464.0,99.0,0.0,6.0,70.0,2873.333621183834,0.0,0.0,True,True,1,True,1
163925,3903,5.0,4.0,2753,65,276.0,196.4715748654794,0.0,999.0,999.0,99.0,0.0,6.0,70.0,206.06635065831767,0.0,0.0,False,True,1,True,1
112653,2239,5.0,5.0,2076,65,273.0,827.7806048112845,1.0,0.0,15759.0,99.0,0.0,999.0,70.0,137.09414898406925,0.0,0.0,True,True,1,True,1
33009,842,5.0,99.0,961,79,235.0,619.2558228745083,1.0,113.0,15589.0,99.0,0.0,6.0,70.0,819.3302926899468,0.0,0.0,True,True,1,True,1
171102,1196,5.0,1.0,1449,300,320.0,221.4274732075022,1.0,0.0,15760.0,99.0,0.0,6.0,999.0,721.6218398,1.0,0.0,True,False,1,True,1
180706,4741,4.0,5.0,58,300,417.0,1037.3188158350176,1.0,999.0,15759.0,99.0,0.0,999.0,70.0,2177.042057018462,0.0,0.0,True,False,4,True,1
52837,6015,5.0,5.0,835,66,999.0,1614.7099130951256,1.0,54.0,9764.0,99.0,1.0,6.0,70.0,1668.4135670983128,0.0,0.0,True,True,1,True,1
33936,2435,5.0,5.0,2493,65,276.0,219.20121908247333,1.0,0.0,15759.0,99.0,0.0,999.0,999.0,122.76906359956612,0.0,0.0,True,False,1,True,1
132421,770,5.0,4.0,2315,300,272.0,412.61156943636985,0.0,0.0,16990.0,99.0,0.0,6.0,70.0,2441.0073064810795,0.0,0.0,True,True,1,True,1
153818,119,5.0,4.0,2753,212,445.0,3310.3535141618263,0.0,0.0,999.0,99.0,0.0,6.0,70.0,175.55567242217217,0.0,0.0,False,True,1,True,1
190014,4853,5.0,5.0,2753,227,317.0,1298.9601083541595,1.0,126.0,10300.0,99.0,0.0,6.0,70.0,983.8851438489208,0.0,0.0,False,False,1,True,1
75242,3002,5.0,1.0,748,132,317.0,3060.950843768104,1.0,126.0,10300.0,99.0,0.0,6.0,70.0,831.1270654430327,0.0,0.0,True,True,1,True,1
105637,2941,5.0,99.0,2753,300,276.0,740.3129938367458,1.0,0.0,15759.0,99.0,0.0,6.0,70.0,542.3214977633618,0.0,0.0,True,True,1,True,1
172108,240,5.0,4.0,2199,212,305.0,1227.1782190120985,0.0,999.0,15759.0,99.0,0.0,6.0,70.0,213.7984456729283,0.0,0.0,True,True,1,True,1
93009,6854,5.0,5.0,2008,297,326.0,350.0029345812761,1.0,54.0,11170.0,99.0,0.0,6.0,70.0,48.63426159846611,0.0,0.0,True,True,1,True,1
121200,2708,5.0,99.0,249,65,276.0,585.7264628950973,1.0,999.0,15759.0,99.0,0.0,999.0,70.0,795.8531335,0.0,0.0,True,True,1,True,1
172044,1317,5.0,4.0,86,44,418.0,-96.9898209,0.0,0.0,15760.0,99.0,0.0,6.0,70.0,101.91409100374774,0.0,0.0,True,True,1,True,1
163634,7266,2.0,99.0,2365,74,320.0,978.8199443109156,1.0,0.0,999.0,99.0,0.0,6.0,70.0,667.5391994756748,0.0,0.0,False,True,1,True,1
172127,4040,5.0,4.0,2753,129,418.0,442.3710843312286,0.0,0.0,8991.0,99.0,0.0,6.0,70.0,44.26873191736004,0.0,0.0,True,True,1,True,1
192410,7320,5.0,0.0,2753,169,369.0,-240.6526689,0.0,61.0,999.0,99.0,0.0,0.0,70.0,232.7709346991276,0.0,0.0,False,True,1,True,1
163729,5465,5.0,4.0,213,44,999.0,395.0731235232028,0.0,0.0,13248.0,99.0,0.0,6.0,70.0,434.3817206002673,0.0,0.0,False,False,1,True,1
